epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1210.57,1.55391,0.74027,0.99317,0.94571,0.96787,0.98368,0.50622,1.60187,0.74782,1.00447,0.0012575,0.0012575,0.0012575
77,1226.08,1.55561,0.73754,0.97683,0.93363,0.97694,0.97573,0.50632,1.64,0.70975,1.01403,0.0012476,0.0012476,0.0012476
78,1241.62,1.58381,0.73526,0.99165,0.91656,0.97222,0.97194,0.52047,1.63429,0.69977,1.01246,0.0012377,0.0012377,0.0012377
79,1257.19,1.57273,0.77731,1.00584,0.91581,0.95833,0.9632,0.48319,1.66511,0.72726,1.02424,0.0012278,0.0012278,0.0012278
80,1272.74,1.59346,0.76075,0.99178,0.90731,0.95169,0.96846,0.50128,1.61689,0.70787,1.01512,0.0012179,0.0012179,0.0012179
81,1288.35,1.52649,0.70467,0.98099,0.87708,0.99106,0.96936,0.51427,1.60648,0.70351,1.01394,0.001208,0.001208,0.001208
82,1303.9,1.54468,0.7085,1.00084,0.88666,0.98611,0.97232,0.50839,1.61859,0.71943,1.0136,0.0011981,0.0011981,0.0011981
83,1319.5,1.56601,0.7381,0.99946,0.88706,0.9818,0.97356,0.50092,1.65035,0.70652,1.0165,0.0011882,0.0011882,0.0011882
84,1335.19,1.51311,0.70101,0.97336,0.93507,0.93056,0.97278,0.48185,1.65156,0.70708,1.01762,0.0011783,0.0011783,0.0011783
85,1350.7,1.55246,0.71243,1.00698,0.8848,0.97222,0.97043,0.47977,1.62692,0.73106,1.01554,0.0011684,0.0011684,0.0011684
86,1366.28,1.63377,0.72534,0.9966,0.88634,0.95833,0.96886,0.49105,1.60698,0.73165,1.00995,0.0011585,0.0011585,0.0011585
87,1381.85,1.56063,0.71272,0.99019,0.90266,0.97222,0.9698,0.50333,1.5873,0.7107,1.00406,0.0011486,0.0011486,0.0011486
88,1397.46,1.48416,0.70328,0.95881,0.93091,0.93575,0.97557,0.49095,1.6412,0.69499,1.01292,0.0011387,0.0011387,0.0011387
89,1413.05,1.5739,0.68598,1.00034,0.94514,0.95714,0.97948,0.50084,1.64267,0.6882,1.01521,0.0011288,0.0011288,0.0011288
90,1428.67,1.51346,0.69945,0.97932,0.92817,0.97222,0.97819,0.49745,1.68013,0.69519,1.02933,0.0011189,0.0011189,0.0011189
91,1444.24,1.60329,0.72373,1.00251,0.93073,0.97222,0.98263,0.49696,1.68477,0.69443,1.0331,0.001109,0.001109,0.001109
92,1459.89,1.55305,0.71286,0.99532,0.91228,0.97222,0.98528,0.51001,1.66224,0.67222,1.01733,0.0010991,0.0010991,0.0010991
93,1475.69,1.55218,0.70151,1.00506,0.90727,0.98611,0.97863,0.52105,1.63872,0.68177,1.01221,0.0010892,0.0010892,0.0010892
94,1491.32,1.58342,0.70012,1.01205,0.92097,0.97108,0.96278,0.50301,1.61861,0.69086,1.00893,0.0010793,0.0010793,0.0010793
95,1506.93,1.52755,0.68434,0.97808,0.9189,0.94418,0.9517,0.4945,1.61168,0.69516,1.00623,0.0010694,0.0010694,0.0010694
