epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,13517.8,1.17364,0.47555,1.04997,0.9697,0.99224,0.99222,0.6303,1.24295,0.48772,1.1075,0.0011882,0.0011882,0.0011882
84,13681.1,1.12573,0.47017,1.02329,0.96943,0.98334,0.9876,0.6308,1.22483,0.47319,1.1061,0.0011783,0.0011783,0.0011783
85,13847.2,1.14236,0.46594,1.01497,0.97644,0.97674,0.99138,0.61853,1.28184,0.46988,1.12131,0.0011684,0.0011684,0.0011684
86,14011.9,1.13217,0.45653,1.03875,0.9874,0.97674,0.99355,0.64255,1.24359,0.46558,1.10312,0.0011585,0.0011585,0.0011585
87,14179.2,1.15974,0.47212,1.02644,0.98191,0.96899,0.98807,0.63262,1.24994,0.455,1.11054,0.0011486,0.0011486,0.0011486
88,14356.8,1.12624,0.46507,1.01979,0.97184,0.96124,0.97746,0.58614,1.33798,0.49044,1.15668,0.0011387,0.0011387,0.0011387
89,14502.8,1.13417,0.46553,1.02785,0.97924,0.99225,0.99039,0.62627,1.26506,0.48367,1.11164,0.0011288,0.0011288,0.0011288
90,14584.7,1.14079,0.45787,1.02948,0.97703,0.98912,0.99337,0.60315,1.33624,0.4903,1.15238,0.0011189,0.0011189,0.0011189
91,14642.3,1.08324,0.44041,1.01305,0.96067,0.99225,0.9929,0.63493,1.28394,0.46545,1.11731,0.001109,0.001109,0.001109
92,14719.8,1.14328,0.45849,1.01873,0.96944,0.98359,0.99199,0.62387,1.26022,0.46975,1.1138,0.0010991,0.0010991,0.0010991
93,14955.9,1.13163,0.46368,1.00898,0.96832,0.9845,0.99133,0.61668,1.26542,0.48046,1.11906,0.0010892,0.0010892,0.0010892
94,15263.2,1.12551,0.47114,1.0204,0.97611,0.9845,0.99348,0.63921,1.22698,0.47941,1.09526,0.0010793,0.0010793,0.0010793
95,15565.1,1.12967,0.46191,1.018,0.98954,0.9845,0.99396,0.62609,1.24021,0.44732,1.09901,0.0010694,0.0010694,0.0010694
96,15680,1.15123,0.45731,1.02359,0.9845,0.98447,0.99352,0.62508,1.24164,0.45096,1.10754,0.0010595,0.0010595,0.0010595
97,15747.3,1.12213,0.45623,1.0214,0.99223,0.99017,0.99461,0.64252,1.19771,0.43933,1.08989,0.0010496,0.0010496,0.0010496
98,15809.2,1.15517,0.4593,1.04169,0.99219,0.98427,0.99446,0.60956,1.27618,0.47258,1.11632,0.0010397,0.0010397,0.0010397
99,15871.1,1.10341,0.44804,1.01227,0.97689,0.98303,0.99402,0.64207,1.23403,0.46537,1.0972,0.0010298,0.0010298,0.0010298
100,15933.5,1.16179,0.4584,1.03048,0.9757,0.97674,0.99336,0.63555,1.20886,0.45867,1.09112,0.0010199,0.0010199,0.0010199
101,15995.4,1.09473,0.44508,1.00287,0.97603,0.97674,0.99217,0.63166,1.25318,0.46559,1.10737,0.00101,0.00101,0.00101
